fungicide,experiment,isolate,rep,dose,length_mm
metalaxyl,2,1,2,10,0
metalaxyl,2,1,3,10,0
metalaxyl,2,2,1,0,30.64
metalaxyl,2,2,2,0,29.72
metalaxyl,2,2,3,0,30.58
metalaxyl,2,2,1,0.1,1.7
metalaxyl,2,2,2,0.1,2.75
metalaxyl,2,2,3,0.1,3.1
metalaxyl,2,2,1,0.5,0.5
metalaxyl,2,2,2,0.5,0.61
metalaxyl,2,2,3,0.5,0.74
metalaxyl,2,2,1,1,0.19
metalaxyl,2,2,2,1,0.36
metalaxyl,2,2,3,1,0.1
metalaxyl,2,2,1,10,0.1
metalaxyl,2,2,2,10,0
metalaxyl,2,2,3,10,0
metalaxyl,2,3,1,0,27.43
metalaxyl,2,3,2,0,28.63
metalaxyl,2,3,3,0,30.68
metalaxyl,2,3,1,0.1,3.12
metalaxyl,2,3,2,0.1,1.7
metalaxyl,2,3,3,0.1,2.27
metalaxyl,2,3,1,0.5,4.46
metalaxyl,2,3,2,0.5,0.12
metalaxyl,2,3,3,0.5,0.19
metalaxyl,2,3,1,1,0.12
metalaxyl,2,3,2,1,1.3
metalaxyl,2,3,3,1,0.12
metalaxyl,2,3,1,10,0
metalaxyl,2,3,2,10,0
metalaxyl,2,3,3,10,0
metalaxyl,2,4,1,0,13.52
metalaxyl,2,4,2,0,13.55
metalaxyl,2,4,3,0,13.16
metalaxyl,2,4,1,0.1,1.89
metalaxyl,2,4,2,0.1,1.29
metalaxyl,2,4,3,0.1,0.6
metalaxyl,2,4,1,0.5,0.73
metalaxyl,2,4,2,0.5,0.32
metalaxyl,2,4,3,0.5,0.31
metalaxyl,2,4,1,1,0.24
metalaxyl,2,4,2,1,0.14
metalaxyl,2,4,3,1,0.16
metalaxyl,2,4,1,10,0
metalaxyl,2,4,2,10,0
metalaxyl,2,4,3,10,0
metalaxyl,2,5,1,0,13.98
metalaxyl,2,5,2,0,12.92
metalaxyl,2,5,3,0,13.99
metalaxyl,2,5,1,0.1,3.58
metalaxyl,2,5,2,0.1,3.56
metalaxyl,2,5,3,0.1,1.91
metalaxyl,2,5,1,0.5,0.77
metalaxyl,2,5,2,0.5,0.63
metalaxyl,2,5,3,0.5,0.85
metalaxyl,2,5,1,1,0.5
metalaxyl,2,5,2,1,0.26
metalaxyl,2,5,3,1,0.12
metalaxyl,2,5,1,10,0
metalaxyl,2,5,2,10,0
metalaxyl,2,5,3,10,0
metalaxyl,2,6,1,0,13.7
metalaxyl,2,6,2,0,16.39
metalaxyl,2,6,3,0,14.38
metalaxyl,2,6,1,0.1,2.89
metalaxyl,2,6,2,0.1,2.71
metalaxyl,2,6,3,0.1,1.23
metalaxyl,2,6,1,0.5,0.8
metalaxyl,2,6,2,0.5,0.61
metalaxyl,2,6,3,0.5,0.32
metalaxyl,2,6,1,1,0.54
metalaxyl,2,6,2,1,0.31
metalaxyl,2,6,3,1,0.15
metalaxyl,2,6,1,10,0.5
metalaxyl,2,6,2,10,0
metalaxyl,2,6,3,10,0
metalaxyl,2,7,1,0,13.91
metalaxyl,2,7,2,0,12.49
metalaxyl,2,7,3,0,14.3
metalaxyl,2,7,1,0.1,2.95
metalaxyl,2,7,2,0.1,2.41
metalaxyl,2,7,3,0.1,0.8
metalaxyl,2,7,1,0.5,0.63
metalaxyl,2,7,2,0.5,1.08
metalaxyl,2,7,3,0.5,0.92
metalaxyl,2,7,1,1,0.33
metalaxyl,2,7,2,1,0.65
metalaxyl,2,7,3,1,0.32
metalaxyl,2,7,1,10,0
metalaxyl,2,7,2,10,0
metalaxyl,2,7,3,10,0
metalaxyl,2,8,1,0,14.85
metalaxyl,2,8,2,0,13.86
metalaxyl,2,8,3,0,12.71
metalaxyl,2,8,1,0.1,3.35
metalaxyl,2,8,2,0.1,3.32
metalaxyl,2,8,3,0.1,1.74
metalaxyl,2,8,1,0.5,0.2
metalaxyl,2,8,2,0.5,0.6
metalaxyl,2,8,3,0.5,0.16
metalaxyl,2,8,1,1,0.16
metalaxyl,2,8,2,1,0.57
metalaxyl,2,8,3,1,0.11
metalaxyl,2,8,1,10,0
metalaxyl,2,8,2,10,0
metalaxyl,2,8,3,10,0
metalaxyl,2,9,1,0,15.63
metalaxyl,2,9,2,0,19.3
metalaxyl,2,9,3,0,13.23
metalaxyl,2,9,1,0.1,1.36
metalaxyl,2,9,2,0.1,1.91
metalaxyl,2,9,3,0.1,1.04
metalaxyl,2,9,1,0.5,0.4
metalaxyl,2,9,2,0.5,0.87
metalaxyl,2,9,3,0.5,0.16
metalaxyl,2,9,1,1,0.12
metalaxyl,2,9,2,1,0.25
metalaxyl,2,9,3,1,0.19
metalaxyl,2,9,1,10,0
metalaxyl,2,9,2,10,0
metalaxyl,2,9,3,10,0
metalaxyl,2,10,1,0,14.95
metalaxyl,2,10,2,0,17.77
metalaxyl,2,10,3,0,15.07
metalaxyl,2,10,1,0.1,1.8
metalaxyl,2,10,2,0.1,2.64
metalaxyl,2,10,3,0.1,1.24
metalaxyl,2,10,1,0.5,0.87
metalaxyl,2,10,2,0.5,0.81
metalaxyl,2,10,3,0.5,0.34
metalaxyl,2,10,1,1,0.18
metalaxyl,2,10,2,1,0.24
metalaxyl,2,10,3,1,0.12
metalaxyl,2,10,1,10,0.11
metalaxyl,2,10,2,10,0
metalaxyl,2,10,3,10,0
